state,population,density_per_sq_mi,ISO
Washington,7785786,115.6,US-WA
Illinois,12582032,231.6,US-IL
California,39029342,253.7,US-CA
Arizona,7359197,64.3,US-AZ
Massachusetts,6981974,894.2,US-MA
Wisconsin,5892539,108.7,US-WI
Texas,30029572,114.2,US-TX
Nebraska,1967923,25.5,US-NE
Utah,3380800,42.3,US-UT
Oregon,4240137,44.1,US-OR
Florida,22244823,416.9,US-FL
New York,19677151,421.0,US-NY
Rhode Island,1093734,1026.0,US-RI
Georgia,10912876,191.5,US-GA
New Hampshire,1395231,153.0,US-NH
North Carolina,10698973,222.3,US-NC
New Jersey,9261699,1263.0,US-NJ
Colorado,5839926,56.9,US-CO
Maryland,6164660,636.6,US-MD
Nevada,3177772,29.1,US-NV
Tennessee,7051339,169.0,US-TN
Hawaii,1440196,221.9,US-HI
Indiana,6833037,191.8,US-IN
Kentucky,4512310,114.4,US-KY
Minnesota,5717184,71.4,US-MN
Oklahoma,4019800,58.4,US-OK
Pennsylvania,12972008,290.8,US-PA
South Carolina,5282634,174.8,US-SC
District of Columbia,671803,11366.0,US-DC
Kansas,2937150,35.9,US-KS
Missouri,6177957,89.9,US-MO
Vermont,647064,70.6,US-VT
Virginia,8683619,218.3,US-VA
Connecticut,3626205,746.7,US-CT
Iowa,3200517,57.1,US-IA
Louisiana,4590241,108.6,US-LA
Ohio,11756058,288.7,US-OH
Michigan,10034113,178.6,US-MI
South Dakota,909824,11.9,US-SD
Arkansas,3045637,58.0,US-AR
Delaware,1018396,522.1,US-DE
Mississippi,2940057,63.7,US-MS
New Mexico,2113344,17.5,US-NM
North Dakota,779261,11.3,US-ND
Wyoming,581381,6.0,US-WY
Alaska,733583,1.3,US-AK
Maine,1385340,44.3,US-ME
Alabama,5074296,99.6,US-AL
Idaho,1939033,23.6,US-ID
Montana,1122867,7.8,US-MT
Puerto Rico,3221789,922.0,US-PR
Virgin Islands,105413,1040.0,US-VI
Guam,171774,830.0,US-GU
West Virginia,1775156,77.1,US-WV
Northern Mariana Islands,49551,130.0,US-MP
American Samoa,44273,280.0,US-AS
